,BATHRM,HF_BATHRM,HEAT,AC,ROOMS,BEDRM,AYB,YR_RMDL,EYB,PRICE,QUALIFIED,SALE_NUM,FIREPLACES,USECODE,LANDAREA,LIVING_GBA,WARD,SalevYB,SalevYI
0,2,0,2,1,4,2,1911.0,2016.0,1919,599900.0,0,2,0,16,716,1084.0,0,105.0,97
1,2,0,2,1,4,2,1911.0,2016.0,1919,677900.0,1,2,0,16,844,1267.0,0,106.0,98
2,2,0,2,1,4,2,1911.0,2016.0,1919,659900.0,1,2,0,16,763,1151.0,0,105.0,97
3,2,0,2,1,4,2,1911.0,2016.0,1919,645000.0,1,2,0,16,716,1080.0,0,105.0,97
4,2,0,2,1,4,2,1911.0,2016.0,1919,690900.0,0,2,0,16,923,1405.0,0,106.0,98
5,2,0,2,1,4,2,1911.0,2016.0,1919,695000.0,1,2,0,16,844,1278.0,0,105.0,97
6,2,0,2,1,4,2,1911.0,2016.0,1919,803500.0,1,2,0,16,918,1417.0,0,105.0,97
7,2,0,2,1,4,2,1911.0,2016.0,1919,642900.0,0,2,0,16,716,1080.0,0,105.0,97
8,2,0,2,1,4,2,1911.0,2016.0,1919,765900.0,1,2,0,16,923,1405.0,0,106.0,98
9,2,0,2,1,4,2,1911.0,2016.0,1919,738400.0,1,2,0,16,844,1278.0,0,105.0,97
10,2,0,2,1,4,2,2007.0,2007.0,2007,264405.0,0,1,0,17,471,955.0,3,7.0,7
11,2,0,2,1,4,2,2007.0,2007.0,2007,274900.0,0,1,0,17,471,950.0,3,7.0,7
12,2,0,2,1,4,2,2007.0,2007.0,2007,252500.0,0,1,0,17,471,980.0,3,6.0,6
13,2,0,2,1,4,2,2007.0,2007.0,2007,289900.0,0,1,0,17,471,980.0,3,6.0,6
14,2,0,2,1,4,2,2007.0,2007.0,2007,265000.0,0,1,0,17,471,950.0,3,7.0,7
15,2,0,2,1,4,2,2007.0,2007.0,2007,265000.0,0,1,0,17,471,980.0,3,6.0,6
16,1,1,2,1,4,2,1937.0,2017.0,1937,361500.0,1,2,0,16,788,777.0,3,80.0,80
17,1,1,2,1,4,2,1937.0,2017.0,1937,362500.0,1,2,0,16,788,777.0,3,80.0,80
18,1,0,2,1,3,1,2004.0,2004.0,2004,305000.0,0,1,0,17,374,670.0,5,10.0,10
19,1,0,2,1,3,1,2004.0,2004.0,2004,315000.0,0,1,0,17,374,670.0,5,5.0,5
20,1,0,2,1,3,1,2004.0,2004.0,2004,384000.0,0,3,0,17,374,670.0,5,13.0,13
21,1,0,2,1,3,1,2004.0,2004.0,2004,308000.0,0,1,0,17,374,670.0,5,1.0,1
22,1,0,2,1,3,1,2004.0,2004.0,2004,315000.0,0,1,0,17,374,670.0,5,5.0,5
23,1,0,2,1,3,1,2004.0,2004.0,2004,302500.0,0,1,0,17,374,670.0,5,5.0,5
24,1,0,2,1,3,1,2004.0,2004.0,2004,247450.0,0,1,0,17,374,673.0,5,1.0,1
25,1,0,2,1,3,1,2004.0,2004.0,2004,274000.0,0,1,0,17,374,668.0,5,1.0,1
26,1,0,2,1,3,1,2004.0,2004.0,2004,346755.0,0,3,0,17,374,636.0,5,10.0,10
27,1,0,2,1,3,1,2004.0,2004.0,2004,378000.0,0,4,0,17,374,670.0,5,11.0,11
28,1,0,2,1,3,1,2004.0,2004.0,2004,305000.0,0,1,0,17,374,673.0,5,6.0,6
29,1,0,2,1,2,0,2004.0,2004.0,2004,203000.0,0,1,0,17,274,533.0,5,5.0,5
30,1,0,2,1,4,2,2004.0,2004.0,2004,375000.0,0,1,0,17,523,936.0,5,9.0,9
31,1,0,2,1,4,2,2004.0,2004.0,2004,320000.0,0,1,0,17,523,922.0,5,5.0,5
32,1,0,2,1,2,0,2004.0,2004.0,2004,202000.0,0,1,0,17,274,486.0,5,1.0,1
33,2,0,2,1,4,2,2004.0,2004.0,2004,430000.0,0,1,0,17,592,1069.0,5,1.0,1
34,1,0,2,1,4,1,2004.0,2004.0,2004,425000.0,0,5,0,17,492,822.0,5,10.0,10
35,1,0,2,1,3,1,2004.0,2004.0,2004,378000.0,0,1,0,17,374,746.0,5,1.0,1
36,1,0,2,1,3,1,2004.0,2004.0,2004,307000.0,0,1,0,17,374,695.0,5,5.0,5
37,1,0,2,1,2,0,2004.0,2004.0,2004,224777.0,0,1,0,17,274,515.0,5,9.0,9
38,2,0,2,1,4,2,2004.0,2004.0,2004,452000.0,0,1,0,17,592,1070.0,5,1.0,1
39,2,0,2,1,4,2,2004.0,2004.0,2004,433000.0,0,1,0,17,592,1076.0,5,1.0,1
40,1,0,2,1,4,1,2004.0,2004.0,2004,402500.0,0,3,0,17,492,901.0,5,10.0,10
41,1,0,2,1,3,1,2004.0,2004.0,2004,318000.0,0,1,0,17,374,670.0,5,1.0,1
42,1,0,0,1,3,1,1967.0,1967.0,1967,320000.0,0,5,0,17,495,670.0,5,49.0,49
43,1,0,0,1,3,1,1967.0,1967.0,1967,228000.0,0,1,0,17,409,531.0,5,42.0,42
44,1,0,0,1,2,0,1967.0,1967.0,1967,245000.0,0,4,0,17,347,462.0,5,50.0,50
45,1,1,0,1,3,1,1967.0,1967.0,1967,255000.0,0,1,0,17,536,710.0,5,40.0,40
46,1,1,0,1,5,2,1967.0,1967.0,1967,180000.0,0,1,0,17,857,1138.0,5,35.0,35
47,1,0,0,1,4,1,1967.0,1967.0,1967,234000.0,0,1,0,17,668,889.0,5,42.0,42
48,1,0,0,1,3,1,1967.0,1967.0,1967,235000.0,0,1,0,17,668,890.0,5,46.0,46
49,1,1,0,1,3,1,1967.0,1967.0,1967,339000.0,0,3,0,17,536,718.0,5,50.0,50
50,1,0,0,1,2,0,1967.0,1967.0,1967,180000.0,0,1,0,17,347,461.0,5,38.0,38
51,1,0,0,1,3,1,1967.0,1967.0,1967,200000.0,0,1,0,17,495,670.0,5,43.0,43
52,1,0,0,1,3,1,1967.0,1967.0,1967,289000.0,0,4,0,17,495,670.0,5,48.0,48
53,1,0,0,1,3,1,1967.0,1967.0,1967,236995.0,0,5,0,17,285,527.0,5,49.0,49
54,1,0,0,1,3,1,1967.0,1967.0,1967,219000.0,0,1,0,17,409,531.0,5,47.0,47
55,1,0,0,1,2,0,1967.0,1967.0,1967,273000.0,0,3,0,17,347,462.0,5,51.0,51
56,1,1,0,1,5,2,1967.0,1967.0,1967,390000.0,1,2,0,17,857,1138.0,5,51.0,51
57,1,1,0,1,5,2,1967.0,1967.0,1967,349000.0,0,1,0,17,857,1138.0,5,47.0,47
58,2,0,0,1,5,2,1967.0,1967.0,1967,345000.0,0,1,0,17,857,1136.0,5,46.0,46
59,1,0,0,1,2,0,1967.0,1967.0,1967,230000.0,0,3,0,17,347,462.0,5,49.0,49
60,1,0,0,1,2,0,1967.0,1967.0,1967,72500.0,0,1,0,17,347,461.0,5,36.0,36
61,1,0,0,1,3,1,1967.0,1967.0,1967,280000.0,0,3,0,17,409,533.0,5,49.0,49
62,1,0,0,1,4,1,1967.0,1967.0,1967,215000.0,0,1,0,17,550,744.0,5,37.0,37
63,1,0,0,1,3,1,1967.0,1967.0,1967,300000.0,0,5,0,17,495,670.0,5,50.0,50
64,1,0,0,1,3,1,1967.0,1967.0,1967,75000.0,0,1,0,17,495,671.0,5,27.0,27
65,1,1,0,1,3,1,1967.0,1967.0,1967,180000.0,1,1,0,17,536,716.0,5,43.0,43
66,1,0,0,1,2,0,1967.0,1967.0,1967,185000.0,0,2,0,17,347,462.0,5,49.0,49
67,1,0,0,1,4,1,1967.0,1967.0,1967,170000.0,1,1,0,17,668,889.0,5,44.0,44
68,1,1,0,1,5,2,1967.0,1967.0,1967,325000.0,1,4,0,17,857,1138.0,5,49.0,49
69,1,0,0,1,4,1,1967.0,1967.0,1967,279000.0,0,6,0,17,668,890.0,5,47.0,47
70,1,0,0,1,2,0,1967.0,1967.0,1967,157000.0,0,1,0,17,347,461.0,5,46.0,46
71,1,1,0,1,3,1,1967.0,1967.0,1967,205000.0,0,1,0,17,536,730.0,5,44.0,44
72,2,0,2,1,4,2,2003.0,2003.0,2003,275000.0,0,1,1,16,1138,925.0,7,4.0,4
73,2,0,2,1,6,3,2003.0,2003.0,2003,215000.0,1,1,1,16,1834,1274.0,7,6.0,6
74,1,0,2,1,3,2,1991.0,1900.0,1900,42500.0,1,1,0,16,930,790.0,7,18.0,109
75,1,0,2,1,3,2,1991.0,1900.0,1900,65000.0,1,3,0,16,888,820.0,7,25.0,116
76,1,0,2,1,4,3,1991.0,1900.0,1900,49500.0,0,1,0,16,1204,984.0,7,11.0,102
77,1,0,2,1,4,3,1991.0,1900.0,1900,182000.0,0,1,0,16,1235,1009.0,7,16.0,107
78,1,0,2,1,4,3,1991.0,1900.0,1900,72000.0,1,1,0,16,1238,1012.0,7,22.0,113
79,1,0,2,1,4,3,1991.0,1900.0,1900,62000.0,1,1,0,16,1269,1037.0,7,21.0,112
80,1,0,2,1,4,3,1991.0,1900.0,1900,49500.0,0,1,0,16,1255,1026.0,7,11.0,102
81,1,0,2,1,4,3,1991.0,1900.0,1900,62500.0,1,1,0,16,1281,1047.0,7,21.0,112
82,1,0,2,1,3,2,1991.0,1900.0,1900,120000.0,0,1,0,16,930,790.0,7,14.0,105
83,1,0,2,1,3,2,1991.0,1900.0,1900,158255.0,1,4,0,16,888,820.0,7,27.0,118
84,1,0,2,1,4,3,1991.0,1900.0,1900,170000.0,0,1,0,16,1211,990.0,7,15.0,106
85,1,0,2,1,4,3,1991.0,1900.0,1900,79000.0,1,1,0,16,1247,1019.0,7,14.0,105
86,1,0,2,1,4,3,1991.0,1900.0,1900,48000.0,1,1,0,16,1238,1012.0,7,13.0,104
87,1,0,2,1,4,3,1991.0,1900.0,1900,135000.0,0,4,0,16,1263,1032.0,7,25.0,116
88,1,0,2,1,4,3,1991.0,1900.0,1900,76500.0,0,1,0,16,1287,1052.0,7,11.0,102
89,1,0,2,1,3,2,1991.0,1900.0,1900,59900.0,0,1,0,16,929,790.0,7,13.0,104
90,1,0,2,1,3,2,1991.0,1900.0,1900,50000.0,0,1,0,16,891,820.0,7,13.0,104
91,1,0,2,1,4,3,1991.0,1900.0,1900,185000.0,0,1,0,16,1199,980.0,7,15.0,106
92,1,0,2,1,4,3,1991.0,1900.0,1900,180000.0,0,1,0,16,1241,1014.0,7,15.0,106
93,1,0,2,1,4,3,1991.0,1900.0,1900,67500.0,0,1,0,16,1231,1006.0,7,10.0,101
94,1,0,2,1,4,3,1991.0,1900.0,1900,49500.0,0,1,0,16,12570,1027.0,7,11.0,102
95,1,0,2,1,4,3,1991.0,1900.0,1900,165000.0,0,1,0,16,1281,1047.0,7,14.0,105
96,3,0,2,1,4,3,1954.0,2007.0,1954,89015.0,1,4,0,16,1321,1063.0,7,63.0,63
97,1,1,2,1,3,2,1954.0,2007.0,1954,187400.0,1,1,0,16,810,591.0,7,53.0,53
98,1,1,2,1,3,2,1954.0,2007.0,1954,179900.0,0,1,0,16,813,612.0,7,53.0,53
99,1,0,2,1,2,1,1954.0,2007.0,1954,159900.0,0,1,0,16,672,495.0,7,53.0,53
100,1,0,2,1,2,1,1954.0,2007.0,1954,167400.0,1,1,0,16,669,502.0,7,53.0,53
101,1,1,2,1,3,2,1954.0,2007.0,1954,67000.0,1,3,0,16,854,628.0,7,61.0,61
102,1,1,2,1,3,2,1954.0,2007.0,1954,189000.0,0,1,0,16,848,633.0,7,53.0,53
103,1,0,2,1,2,1,1954.0,2007.0,1954,149900.0,0,1,0,16,679,511.0,7,53.0,53
104,1,0,2,1,2,1,1954.0,2007.0,1954,172400.0,1,1,0,16,683,508.0,7,53.0,53
105,1,1,2,1,3,2,1954.0,2007.0,1954,72000.0,1,1,0,16,856,628.0,7,59.0,59
106,1,1,2,1,3,2,1954.0,2007.0,1954,190000.0,1,1,0,16,851,633.0,7,53.0,53
107,1,0,2,1,2,1,1954.0,2007.0,1954,157000.0,1,1,0,16,703,527.0,7,53.0,53
108,1,0,2,1,4,2,1949.0,2006.0,1949,185850.0,0,1,0,16,1474,710.0,7,57.0,57
109,1,0,2,1,3,1,1949.0,2006.0,1949,170000.0,1,1,0,16,1250,634.0,7,57.0,57
110,1,0,2,1,4,2,1949.0,2006.0,1949,185000.0,0,1,0,16,1496,745.0,7,57.0,57
111,1,0,2,1,4,2,1949.0,2006.0,1949,72000.0,1,3,0,16,1474,710.0,7,68.0,68
112,1,0,2,1,3,1,1949.0,2006.0,1949,175000.0,1,1,0,16,1250,634.0,7,57.0,57
113,1,0,2,1,4,2,1949.0,2006.0,1949,65000.0,1,1,0,16,1496,745.0,7,64.0,64
114,1,0,2,1,4,2,1949.0,2006.0,1949,55000.0,1,5,0,16,1496,732.0,7,67.0,67
115,1,0,2,1,3,1,1949.0,2006.0,1949,712558.0,1,1,0,16,1250,600.0,7,60.0,60
116,1,0,2,1,4,2,1949.0,2006.0,1949,95000.0,1,4,0,16,1474,702.0,7,67.0,67
117,1,0,2,1,4,2,1949.0,2006.0,1949,195000.0,0,1,0,16,1496,732.0,7,57.0,57
118,1,0,2,1,3,1,1949.0,2006.0,1949,174900.0,1,1,0,16,1250,600.0,7,57.0,57
119,1,0,2,1,4,2,1949.0,2006.0,1949,200000.0,0,1,0,16,1250,702.0,7,57.0,57
120,1,0,2,1,4,2,1949.0,2006.0,1949,50000.0,1,1,0,16,1496,732.0,7,63.0,63
121,1,0,2,1,4,2,1949.0,2006.0,1949,197900.0,1,1,0,16,1474,702.0,7,58.0,58
122,1,0,2,1,4,2,1949.0,2006.0,1949,133000.0,0,1,0,16,1474,723.0,7,60.0,60
123,1,0,4,1,4,1,1940.0,1975.0,1940,98000.0,0,3,0,16,1175,622.0,6,76.0,76
124,1,0,4,1,4,1,1940.0,1975.0,1940,89250.0,1,1,0,16,1040,598.0,6,69.0,69
125,1,0,4,1,4,1,1940.0,1975.0,1940,63000.0,0,1,0,16,1092,622.0,6,64.0,64
126,1,0,4,1,4,1,1940.0,1975.0,1940,33400.0,1,1,0,16,1092,643.0,6,53.0,53
127,2,0,4,1,9,3,1940.0,1975.0,1940,125000.0,0,1,1,16,2516,1269.0,6,64.0,64
128,1,0,2,1,3,1,2002.0,2002.0,2002,52995.0,0,1,0,16,790,614.0,7,-1.0,-1
129,1,0,2,1,4,2,2002.0,2002.0,2002,22000.0,0,5,0,16,988,764.0,7,16.0,16
130,1,0,2,1,3,1,2002.0,2002.0,2002,25500.0,0,3,0,16,790,607.0,7,15.0,15
131,1,0,2,1,2,0,2002.0,2002.0,2002,7000.0,1,2,0,16,691,532.0,7,15.0,15
132,1,0,2,1,4,2,2002.0,2002.0,2002,16000.0,1,1,0,16,988,792.0,7,9.0,9
133,1,0,2,1,3,1,2002.0,2002.0,2002,27900.0,0,3,0,16,790,635.0,7,16.0,16
134,1,0,2,1,3,1,2002.0,2002.0,2002,45000.0,0,4,0,16,691,540.0,7,16.0,16
135,1,0,2,1,4,2,2002.0,2002.0,2002,31000.0,1,1,0,16,988,788.0,7,10.0,10
136,1,0,2,1,3,1,2002.0,2002.0,2002,19000.0,0,3,0,16,790,635.0,7,16.0,16
137,1,0,2,1,3,1,2002.0,2002.0,2002,39901.0,0,4,0,16,790,635.0,7,16.0,16
138,1,0,2,1,4,2,2002.0,2002.0,2002,70995.0,0,2,0,16,988,788.0,7,-1.0,-1
139,1,0,2,1,3,1,2002.0,2002.0,2002,20000.0,1,2,0,16,790,635.0,7,14.0,14
140,1,0,2,1,3,1,2002.0,2002.0,2002,15000.0,1,3,0,16,790,635.0,7,14.0,14
141,1,0,2,1,4,2,2002.0,2002.0,2002,9020.0,1,1,0,16,1087,804.0,7,7.0,7
142,1,0,2,1,3,1,2002.0,2002.0,2002,20000.0,1,2,0,16,790,642.0,7,14.0,14
143,1,0,2,1,3,1,2002.0,2002.0,2002,51995.0,0,1,0,16,790,611.0,7,-1.0,-1
144,1,0,2,1,4,2,2002.0,2002.0,2002,69995.0,0,1,0,16,889,685.0,7,-1.0,-1
145,1,0,2,1,4,2,2002.0,2002.0,2002,66995.0,0,1,0,16,1087,825.0,7,-1.0,-1
146,1,0,2,1,3,1,2002.0,2002.0,2002,60995.0,0,1,0,16,790,651.0,7,-1.0,-1
147,1,0,2,1,4,2,2002.0,2002.0,2002,64995.0,0,1,0,16,988,772.0,7,0.0,0
148,1,0,2,1,4,2,2002.0,2002.0,2002,77995.0,0,1,0,16,1087,825.0,7,-1.0,-1
149,1,0,2,1,4,2,2002.0,2002.0,2002,25500.0,1,5,0,16,988,772.0,7,15.0,15
150,1,0,2,1,4,2,2002.0,2002.0,2002,20000.0,0,5,0,16,1087,825.0,7,15.0,15
151,1,0,2,1,4,2,2002.0,2002.0,2002,37500.0,1,2,0,16,1087,825.0,7,16.0,16
152,1,0,2,1,4,2,2002.0,2002.0,2002,91960.0,0,1,0,16,889,720.0,7,4.0,4
153,1,0,2,1,4,2,2002.0,2002.0,2002,17500.0,1,1,0,16,1087,800.0,7,11.0,11
154,1,0,2,1,3,1,2002.0,2002.0,2002,30000.0,0,4,0,16,790,642.0,7,16.0,16
155,1,0,2,1,4,2,2002.0,2002.0,2002,23000.0,0,5,0,16,1087,825.0,7,16.0,16
156,1,0,2,1,4,2,2002.0,2002.0,2002,20000.0,1,3,0,16,1087,825.0,7,15.0,15
157,1,0,2,1,4,2,2002.0,2002.0,2002,65995.0,0,1,0,16,790,651.0,7,-1.0,-1
158,1,0,2,1,4,2,2002.0,2002.0,2002,26001.0,1,1,0,16,988,772.0,7,7.0,7
159,1,0,2,1,4,2,2002.0,2002.0,2002,29000.0,1,3,0,16,1087,825.0,7,16.0,16
160,1,0,2,1,4,2,2002.0,2002.0,2002,58776.0,1,2,0,16,1087,825.0,7,15.0,15
161,1,0,2,1,4,2,2002.0,2002.0,2002,16964.0,1,1,0,16,790,651.0,7,7.0,7
162,1,0,2,1,4,2,2002.0,2002.0,2002,29000.0,1,5,0,16,988,772.0,7,15.0,15
163,1,0,2,1,4,2,2002.0,2002.0,2002,69995.0,0,1,0,16,1087,825.0,7,-1.0,-1
164,1,0,2,1,4,2,2002.0,2002.0,2002,21000.0,1,4,0,16,1087,825.0,7,15.0,15
165,1,0,6,1,3,1,1965.0,2006.0,1965,139900.0,0,1,0,16,1045,654.0,7,42.0,42
166,1,0,6,1,4,2,1965.0,2006.0,2006,65000.0,1,3,0,16,1181,848.0,7,52.0,11
167,1,0,6,1,4,2,1965.0,2006.0,2005,65625.0,0,4,0,16,1181,848.0,7,50.0,10
168,1,0,4,1,4,2,1952.0,2007.0,1952,205000.0,0,1,0,16,708,722.0,7,55.0,55
169,1,0,4,1,4,2,1952.0,2007.0,1952,122400.0,1,2,0,16,877,722.0,7,66.0,66
170,1,0,4,1,4,2,1952.0,2007.0,1952,42600.0,1,1,0,16,705,719.0,7,59.0,59
171,1,0,4,1,4,2,1952.0,2007.0,1952,122400.0,1,2,0,16,705,719.0,7,66.0,66
172,1,0,2,1,5,2,1954.0,1980.0,1954,35000.0,1,1,0,16,790,650.0,7,55.0,55
173,1,0,2,1,4,1,1954.0,1980.0,1954,22000.0,0,1,0,16,710,560.0,7,48.0,48
174,1,0,2,1,4,1,1954.0,1980.0,1954,30000.0,0,1,0,16,710,560.0,7,54.0,54
175,1,0,2,1,5,2,1954.0,1980.0,1954,37000.0,0,1,0,16,790,654.0,7,49.0,49
176,1,0,2,1,5,2,1954.0,1980.0,1954,45000.0,0,1,0,16,790,654.0,7,49.0,49
177,1,0,2,1,4,1,1954.0,1980.0,1954,17000.0,1,1,0,16,710,562.0,7,56.0,56
178,1,0,2,1,4,1,1954.0,1980.0,1954,130000.0,0,1,0,16,710,560.0,7,53.0,53
179,1,0,2,1,4,2,1960.0,2005.0,1960,127500.0,0,1,0,16,1032,801.0,7,45.0,45
180,1,0,2,1,4,2,1960.0,2005.0,1960,129500.0,0,1,0,16,1032,766.0,7,46.0,46
