,SALEDATE,PRICE
106696,2016-12-20,599900.0
106698,2017-02-22,677900.0
106699,2016-12-22,659900.0
106700,2016-12-19,645000.0
106701,2017-02-10,690900.0
106702,2016-11-08,695000.0
106703,2016-12-13,803500.0
106704,2016-12-20,642900.0
106705,2017-04-07,765900.0
106706,2016-12-13,738400.0
106707,2014-02-20,264405.0
106708,2014-04-22,274900.0
106709,2013-07-11,252500.0
106710,2013-07-10,289900.0
106712,2014-03-13,265000.0
106713,2013-11-25,265000.0
106718,2017-08-18,361500.0
106719,2017-08-15,362500.0
106720,2014-03-31,305000.0
106721,2009-10-26,315000.0
106722,2017-05-19,384000.0
106723,2005-02-04,308000.0
106724,2009-10-08,315000.0
106725,2009-09-30,302500.0
106726,2005-01-04,247450.0
106727,2005-01-04,274000.0
106728,2014-10-15,346755.0
106729,2015-06-22,378000.0
106730,2010-05-25,305000.0
106731,2009-08-05,203000.0
106732,2013-08-19,375000.0
106733,2009-03-13,320000.0
106734,2005-03-08,202000.0
106736,2005-01-04,430000.0
106738,2014-10-17,425000.0
106739,2005-12-19,378000.0
106740,2009-04-29,307000.0
106741,2013-03-27,224777.0
106742,2005-04-13,452000.0
106743,2005-04-13,433000.0
106745,2014-07-25,402500.0
106747,2005-03-08,318000.0
106749,2016-05-23,320000.0
106753,2009-07-28,228000.0
106754,2017-10-10,245000.0
106755,2007-12-14,255000.0
106756,2002-07-03,180000.0
106757,2009-10-26,234000.0
106759,2013-09-25,235000.0
106761,2017-10-03,339000.0
106762,2005-05-23,180000.0
106765,2010-11-16,200000.0
106766,2015-05-22,289000.0
106768,2016-01-05,236995.0
106769,2014-03-20,219000.0
106770,2018-05-03,273000.0
106772,2018-01-08,390000.0
106773,2014-01-22,349000.0
106775,2013-02-26,345000.0
106777,2016-02-11,230000.0
106778,2003-02-06,72500.0
106779,2016-09-16,280000.0
106780,2004-10-14,215000.0
106782,2017-10-23,300000.0
106783,1994-05-31,75000.0
106786,2010-06-22,180000.0
106787,2016-03-18,185000.0
106788,2011-04-25,170000.0
106789,2016-06-09,325000.0
106791,2014-08-04,279000.0
106792,2013-05-16,157000.0
106793,2011-04-04,205000.0
106794,2007-09-21,275000.0
106795,2009-08-17,215000.0
106798,2009-11-17,42500.0
106799,2016-12-13,65000.0
106800,2002-02-06,49500.0
106801,2007-11-23,182000.0
106802,2013-12-02,72000.0
106803,2012-07-05,62000.0
106804,2002-04-04,49500.0
106805,2012-11-20,62500.0
106806,2005-04-06,120000.0
106807,2018-04-12,158255.0
106808,2006-01-10,170000.0
106809,2005-01-14,79000.0
106810,2004-02-12,48000.0
106812,2016-03-01,135000.0
106813,2002-01-16,76500.0
106814,2004-04-06,59900.0
106815,2004-01-30,50000.0
106816,2006-12-04,185000.0
106817,2006-04-14,180000.0
106818,2001-12-19,67500.0
106820,2002-06-10,49500.0
106821,2005-09-14,165000.0
106822,2017-11-30,89015.0
106823,2007-06-07,187400.0
106824,2007-05-02,179900.0
106825,2007-05-10,159900.0
106826,2007-05-21,167400.0
106827,2015-04-27,67000.0
106828,2007-06-05,189000.0
106829,2007-11-20,149900.0
106830,2007-04-30,172400.0
106831,2013-06-12,72000.0
106832,2007-10-01,190000.0
106833,2007-12-06,157000.0
106835,2006-11-14,185850.0
106836,2006-10-06,170000.0
106837,2006-07-11,185000.0
106838,2017-12-14,72000.0
106839,2006-06-29,175000.0
106840,2013-09-12,65000.0
106841,2016-12-23,55000.0
106842,2009-10-22,712558.0
106843,2016-05-03,95000.0
106844,2006-08-01,195000.0
106845,2006-08-04,174900.0
106846,2006-09-11,200000.0
106847,2012-10-02,50000.0
106849,2007-05-24,197900.0
106850,2009-09-14,133000.0
106852,2016-03-03,98000.0
106857,2009-08-17,89250.0
106858,2004-04-21,63000.0
106859,1993-09-02,33400.0
106862,2004-08-19,125000.0
106863,2001-07-06,52995.0
106864,2018-06-25,22000.0
106865,2017-07-20,25500.0
106866,2017-05-08,7000.0
106867,2011-12-30,16000.0
106868,2018-06-28,27900.0
106870,2018-06-26,45000.0
106871,2012-01-31,31000.0
106872,2018-04-20,19000.0
